JobTitle__lightlycleaned,RoleMultichoice_composite,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeOtherVizTasks,OtherVizTasks__,altID
Senior Data Visualization Developer,,60–69 hours,None,None,5 hours or less,21–30 hours,More than 30 hours,web development,35
Data Analyst & Developer,Developer,40–49 hours,21–30 hours,5 hours or less,None,6–10 hours,,Web development,36
,Developer,30–39 hours,None,None,5 hours or less,6–10 hours,6–10 hours,Web development,37
Senior Data Visualization Developer,Developer,30–39 hours,None,None,5 hours or less,21–30 hours,5 hours or less,Web development,38
Data Visualization Researcher,Designer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,5 hours or less,Web design and coding,39
Aviation Test Technician,None of these describes my role,40–49 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,Weather Radar Traffic and Collision Avoidance Burn In EMI Emission up to 18 GHZ,40
Program Evaluator,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,6–10 hours,Volunteer visualizations for a non-profit,41
Process Specialist,Scientist,60–69 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,"VOC/ VOB data collection, task force alignments on data automatization, User experience improvement, final aprovals of visualizations,",42
Senior Business Intelligence Analyst,Analyst,30–39 hours,5 hours or less,5 hours or less,None,6–10 hours,5 hours or less,Viz walkthroughs and feedback meetings with clients,43
PhD student,Student,30–39 hours,None,None,6–10 hours,5 hours or less,11–20 hours,"visualization research - planning/executing research studies, developing vis frameworks",44
Team Lead,Analyst,20–29 hours,6–10 hours,21–30 hours,6–10 hours,11–20 hours,5 hours or less,Visualization other than related to my organisation work.,45
Information designer,,40–49 hours,5 hours or less,6–10 hours,21–30 hours,11–20 hours,21–30 hours,Visualisation trends,46
Data visualisation practice lead,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,11–20 hours,Visualisation strategy,47
Data Visualization Designer,Designer,30–39 hours,None,5 hours or less,11–20 hours,11–20 hours,11–20 hours,Visual Storytelling,48
Visual designer,Designer,20–29 hours,None,None,11–20 hours,11–20 hours,5 hours or less,Visual Research,49
Research Assistant,Student,20–29 hours,5 hours or less,6–10 hours,6–10 hours,21–30 hours,21–30 hours,"Visual data wrangling, visualization toolkits, database systems",50
,Scientist,20–29 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,Validation with customer teams,51
Analytics Developer,Analyst,40–49 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,6–10 hours,Validation of data,52
Data Scientist,"Leadership (Manager, Director, VP, etc.)",20–29 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,Validation,53
Data viz designer,Designer,20–29 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,5 hours or less,Validating designs,54
head of analysis and academic processes,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,5 hours or less,Validating and Presenting analytic results,55
Senior information designer,Designer,40–49 hours,None,5 hours or less,5 hours or less,6–10 hours,21–30 hours,UX/UI,56
Information Designer,Designer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,6–10 hours,"UX Design, Presentation, Writing",57
Principal UX Architect,Designer,30–39 hours,None,None,6–10 hours,None,6–10 hours,UX design of an interactive diagram platform,58
designer,Designer,20–29 hours,None,None,5 hours or less,11–20 hours,11–20 hours,UX design,59
COO and Adjunct Professor,"Leadership (Manager, Director, VP, etc.)",,5 hours or less,6–10 hours,5 hours or less,21–30 hours,5 hours or less,Using visualizations,60
Senior Data Experience Designer,Designer,30–39 hours,None,5 hours or less,11–20 hours,11–20 hours,11–20 hours,User testing of low fidelity data visualisation concepts,61
Data visualization Consultant,Analyst,20–29 hours,None,6–10 hours,5 hours or less,6–10 hours,5 hours or less,"User testing dataviz, presenting dataviz",62
,Student,30–39 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,5 hours or less,User study,63
Senior Data Visualization Specialist,Designer,60–69 hours,None,None,6–10 hours,11–20 hours,More than 30 hours,"User research, journey mapping, wireframing",64
Software Engineer,Engineer,40–49 hours,None,11–20 hours,None,11–20 hours,5 hours or less,"User research, gathering requirements",65
,Scientist,30–39 hours,6–10 hours,None,5 hours or less,5 hours or less,5 hours or less,"User research for visualization, keeping up to data on visualization trends / research",66
Staff Data Experience Engineer,Teacher,30–39 hours,None,5 hours or less,5 hours or less,11–20 hours,6–10 hours,User interviews,67
Visual Analytics Manager,"Leadership (Manager, Director, VP, etc.)",40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,User feedback,68
Interactive Art Director,,40–49 hours,5 hours or less,6–10 hours,11–20 hours,11–20 hours,11–20 hours,User experience design and research,69
Data scientist,"Leadership (Manager, Director, VP, etc.)",40–49 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,User accessibility options,70
Research Associate,Analyst,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,None,Used ggplot package in Rstudio to visualize survey data in a somaaliland project,71
Data Analyst Fellow,Analyst,30–39 hours,5 hours or less,6–10 hours,None,5 hours or less,5 hours or less,Updating past visuals and preparing for changes in data streams.,72
Sr. BI Developer,Developer,50–59 hours,6–10 hours,5 hours or less,None,5 hours or less,6–10 hours,"Updates to existing dashboards, troubleshooting access/data issues",73
Information design specialist,Designer,30–39 hours,None,None,5 hours or less,6–10 hours,11–20 hours,Unsure if these should be included but mostly definibg price quires and clients needs. In a way a part of the viz process as it for a clnsuktant defines the scope of the job.,74
Consultant Architect,Developer,Fewer than 20 hours,11–20 hours,11–20 hours,21–30 hours,21–30 hours,6–10 hours,Understanding usage of tools,75
Data Analyst,Analyst,40–49 hours,21–30 hours,5 hours or less,None,None,5 hours or less,Understanding the domain,76
Project manager - Data visualization,"Leadership (Manager, Director, VP, etc.)",50–59 hours,,,6–10 hours,5 hours or less,5 hours or less,"Understanding the client domain, their requirement for creating dashboard designs",77
Data Designer,Designer,40–49 hours,None,5 hours or less,6–10 hours,11–20 hours,6–10 hours,UI/UX Design,78
Software Engineer,Engineer,30–39 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,6–10 hours,"UI, Server, Database",79
Data Visualization Manager,Developer,40–49 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,"Ui, meetings",80
User Interface Principal Engineer,Engineer,40–49 hours,None,None,5 hours or less,21–30 hours,11–20 hours,UI development supports data visualization in the product,81
CEO,,50–59 hours,6–10 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,Trying to visualise quant and qual data together,82
Content Specialist,Journalist,40–49 hours,None,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Trying out visualizations and finding the best visualization that suits the story,83
Communications Manager,Journalist,30–39 hours,5 hours or less,21–30 hours,21–30 hours,6–10 hours,11–20 hours,Trials on the different tools for best visualization,84
Head of Visual Design,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,6–10 hours,11–20 hours,11–20 hours,5 hours or less,"Training, management and sales/marketing work",85
PhD Student,Student,40–49 hours,21–30 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Training with new visualization methods,86
,,50–59 hours,6–10 hours,11–20 hours,5 hours or less,5 hours or less,6–10 hours,Training the users,87
Data scientist,Developer,50–59 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,Training staff in data visualization,88
Senior Manager Data Visualisation,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,training and mentoring,89
Insights analysis,Analyst,50–59 hours,5 hours or less,6–10 hours,6–10 hours,6–10 hours,6–10 hours,training,90
Business Intelligence Performance Partner,Analyst,40–49 hours,11–20 hours,5 hours or less,5 hours or less,11–20 hours,5 hours or less,Training,91
Librarian,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,Training,92
,Teacher,30–39 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,21–30 hours,Training,93
VP Product,Developer,40–49 hours,None,None,None,6–10 hours,More than 30 hours,Tool building,94
Head of Cartography Department,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,None,11–20 hours,5 hours or less,21–30 hours,"Time-managment of on-air production, consulting and chating with our clients, checking status of out longterm taskes: are my team and other colleagues in time with our schedule",95
Senior Principal Data Scientist,Scientist,40–49 hours,5 hours or less,11–20 hours,6–10 hours,6–10 hours,6–10 hours,Time series forecast modeling and micro-economic analysis,96
,Student,20–29 hours,5 hours or less,None,6–10 hours,5 hours or less,6–10 hours,"Theory (eg, perception), application for vis",97
Lecturer,Academic/Teacher,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,the concept of showing data in a simple way,98
Data analyst and developer,Analyst,30–39 hours,None,None,6–10 hours,21–30 hours,5 hours or less,Text creation,99
Software Engineer,Engineer,30–39 hours,None,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"Testing, making accessible",100
UX & Data visualization designer,Student,40–49 hours,11–20 hours,5 hours or less,11–20 hours,6–10 hours,6–10 hours,Testing visualizations,101
Infographic editor's,Designer,30–39 hours,None,None,11–20 hours,6–10 hours,11–20 hours,Testing interactive solutions with some people in the newsroom. Analysing the results and claiming feedback from other team members for instance,102
analyst,Analyst,40–49 hours,6–10 hours,None,5 hours or less,6–10 hours,5 hours or less,templates for others,103
Data Visualization Engineer,Developer,40–49 hours,6–10 hours,5 hours or less,6–10 hours,11–20 hours,21–30 hours,technical support,104
Data Scientist,Developer,40–49 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,"Team meetings, Alignments, Leadership calls",105
Lead Data Analyst,Analyst,40–49 hours,6–10 hours,5 hours or less,None,5 hours or less,21–30 hours,"Team management, stakeholder management, training others",106
Data Analyst,Analyst,40–49 hours,21–30 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Team collaboration and meetings over content requirements,107
Research Scientist,Academic/Teacher,40–49 hours,5 hours or less,5 hours or less,5 hours or less,None,21–30 hours,"Teaching, Writing/Communicating",108
data visualization designer,Designer,40–49 hours,None,5 hours or less,11–20 hours,6–10 hours,6–10 hours,"teaching, consulting",109
Owner/Data Viz Consultant,Designer,40–49 hours,6–10 hours,6–10 hours,11–20 hours,5 hours or less,11–20 hours,"Teaching, coaching and helping others to imptove their vizzes.",110
data storyteller,Teacher,40–49 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,21–30 hours,"teaching workshops, giving feedback, building presentations",111
Senior Data Analyst,Analyst,50–59 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,Teaching others to use the information provided.,112
,Analyst,20–29 hours,5 hours or less,5 hours or less,,6–10 hours,5 hours or less,Teaching others how to do data viz,113
Senior Graphic Designer,Teacher,40–49 hours,5 hours or less,None,5 hours or less,6–10 hours,11–20 hours,Teaching others about data visualization,114
consultant,Developer,40–49 hours,5 hours or less,6–10 hours,5 hours or less,11–20 hours,5 hours or less,Teaching junior consultants/ clients,115
CEO,Teacher,30–39 hours,None,None,5 hours or less,6–10 hours,11–20 hours,"teaching it, writing about it",116
Data Designer,Designer,40–49 hours,None,None,5 hours or less,None,11–20 hours,"teaching data viz, producing data viz videos, moderating a data viz meetup",117
Professor,Academic/Teacher,40–49 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,5 hours or less,Teaching data viz,118
Research Project Manager,Scientist,40–49 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,5 hours or less,Teaching data visualization,119
Instructor,Academic/Teacher,40–49 hours,5 hours or less,5 hours or less,5 hours or less,None,5 hours or less,Teaching data vis,120
Journalist,Journalist,60–69 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,6–10 hours,Teaching and solving questions,121
Lead Data Science Instructor,Academic/Teacher,40–49 hours,5 hours or less,5 hours or less,,5 hours or less,6–10 hours,Teaching and preparing lessons on data visualization,122
data visualization expert,Journalist,40–49 hours,None,5 hours or less,5 hours or less,11–20 hours,,teaching,123
,Teacher,20–29 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,Teaching,124
Creative director,Designer,30–39 hours,None,None,5 hours or less,6–10 hours,5 hours or less,Talking to the customer,125
CEO,Scientist,70 or more hours,21–30 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,Talking to stakeholders,126
Data Visualization designer,,40–49 hours,None,5 hours or less,5 hours or less,11–20 hours,11–20 hours,Talking to clients,127
Associate Data Scientist,Analyst,20–29 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,5 hours or less,talk with stakeholder about what are their needs,128
Sub editor,Engineer,30–39 hours,None,None,None,None,5 hours or less,Taking care of dataviz tools,129
Coordinator,Designer,40–49 hours,11–20 hours,6–10 hours,6–10 hours,5 hours or less,5 hours or less,Surveying other counties in my state to see what they use: environmental scanning.,130
Operations and HR Manager,"Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,Support to customers for their dataviz issues,131
Sr App Developer,Developer,40–49 hours,5 hours or less,5 hours or less,None,None,5 hours or less,Support role to larger org,132
Data consultant,Designer,40–49 hours,None,5 hours or less,5 hours or less,6–10 hours,6–10 hours,"Support for people having issues with their data visualisation, troubleshooting inconsistencies in data in my own visualisations",133
Support & Content,None of these describes my role,40–49 hours,11–20 hours,6–10 hours,6–10 hours,11–20 hours,11–20 hours,Support and consultancy,134
,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,5 hours or less,6–10 hours,5 hours or less,5 hours or less,Supervision,135
CEO,,40–49 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,Supervising development of a visualization platform,136
Business Intelligence Manager,Analyst,40–49 hours,5 hours or less,6–10 hours,,6–10 hours,6–10 hours,Supervising an employee who does data visualization; meetings about data viz,137
Data visualization editor,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,11–20 hours,"style guides, documentation, working with vendors, editing others' visuals",138
,None of these describes my role,20–29 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,"Style Guide, Compilations",139
"Business Intelligence Analyst, teacher",Analyst,60–69 hours,5 hours or less,5 hours or less,11–20 hours,6–10 hours,11–20 hours,"Studying, researching and defining the process",140
Product Manager,,40–49 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,5 hours or less,studying other visualizations,141
Tableau Specialist,Analyst,Fewer than 20 hours,None,5 hours or less,,5 hours or less,,studying for certified exam,142
Customer advisor,,40–49 hours,None,5 hours or less,None,None,5 hours or less,Studying and reading about data viz,143
Master’s degree candidate,Student,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,11–20 hours,Studying and learning new tools,144
as a student in data science technology,Student,30–39 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,study as a student and do the organizational tasks that I followed,145
Data Literacy Leader,Designer,40–49 hours,None,5 hours or less,5 hours or less,6–10 hours,5 hours or less,Study and discussion of data visualization techniques,146
Business analyst,Engineer,40–49 hours,6–10 hours,None,5 hours or less,11–20 hours,5 hours or less,Studing,147
Impact Director,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,Student supervision and mentoring on data viz,148
Quality Engineering Manager,"Leadership (Manager, Director, VP, etc.)",50–59 hours,6–10 hours,11–20 hours,5 hours or less,6–10 hours,5 hours or less,"Structuring BI's, refining non-standard visualizations,etc",149
DataViz Designer,Designer,40–49 hours,None,5 hours or less,11–20 hours,11–20 hours,11–20 hours,Strategy planning and Product Managing,150
Senior Engineering Manager,,50–59 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Strategy and rollout of large scale Data Viz platforms.,151
,"Leadership (Manager, Director, VP, etc.)",50–59 hours,,11–20 hours,11–20 hours,,21–30 hours,Strategy and planning,152
Chief Visualization Officer,,40–49 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,6–10 hours,Strategy and business magic,153
Senior Director of Insights,"Leadership (Manager, Director, VP, etc.)",50–59 hours,6–10 hours,6–10 hours,6–10 hours,5 hours or less,More than 30 hours,Strategic planning,154
,Engineer,50–59 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,5 hours or less,Stats,155
Chief Institutional Research Officer,"Leadership (Manager, Director, VP, etc.)",60–69 hours,11–20 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,"Standards documentation, template development, automation, viz server administration",156
"Director, Impact & Analytics","Leadership (Manager, Director, VP, etc.)",50–59 hours,5 hours or less,11–20 hours,6–10 hours,6–10 hours,6–10 hours,Stakeholder management,157
Digital Visualization Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,6–10 hours,Stakeholder Interviews/Requirement Gathering,158
Institutional analyst,,70 or more hours,21–30 hours,11–20 hours,5 hours or less,11–20 hours,5 hours or less,Stakeholder decisions,159
CEO,,40–49 hours,5 hours or less,6–10 hours,11–20 hours,6–10 hours,6–10 hours,"Specification, wording, management",160
Decision Analyst,Analyst,40–49 hours,5 hours or less,None,5 hours or less,5 hours or less,None,Some transition left to my previous roles,161
Principal Software Engineer,Engineer,30–39 hours,6–10 hours,6–10 hours,,6–10 hours,6–10 hours,Software development,162
Consultant,Analyst,30–39 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,5 hours or less,"Social media marketing, writing blog posts, interacting with other data viz experts, researching data viz methods/styles",163
Senior Consultant,Scientist,40–49 hours,6–10 hours,6–10 hours,5 hours or less,11–20 hours,11–20 hours,Slide preparation and annotation,164
Student,Student,30–39 hours,11–20 hours,11–20 hours,More than 30 hours,More than 30 hours,11–20 hours,Share the products in order to know if their ideas are clear.,165
Lead Data Engineer,Engineer,40–49 hours,21–30 hours,6–10 hours,,6–10 hours,6–10 hours,setting up the dataviz platform,166
resource planning analyst,Analyst,50–59 hours,6–10 hours,6–10 hours,11–20 hours,5 hours or less,5 hours or less,Setting up surveys so resulting data is useful,167
BI developer,Engineer,40–49 hours,21–30 hours,None,5 hours or less,5 hours or less,5 hours or less,Setting up data pipelines,168
CFO,"Leadership (Manager, Director, VP, etc.)",60–69 hours,6–10 hours,6–10 hours,11–20 hours,6–10 hours,5 hours or less,Sending visualizations,169
PhD student,Student,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,searching for the best colors or chart type,170
consultant,Scientist,Fewer than 20 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,searching for and examining publicly available data sets as to potential utility,171
Graphic Communication Design Student,Student,50–59 hours,6–10 hours,6–10 hours,6–10 hours,21–30 hours,6–10 hours,"Search a other type of informartion of the theme, collect data",172
Graphic Designer,,30–39 hours,21–30 hours,5 hours or less,6–10 hours,11–20 hours,5 hours or less,Screen- and print layout to fit the visualizations,173
Information Designer,Designer,40–49 hours,6–10 hours,6–10 hours,5 hours or less,21–30 hours,5 hours or less,Scraping,174
Associate Director of Data Management,None of these describes my role,30–39 hours,6–10 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,roadmapping,175
Designer?,"Leadership (Manager, Director, VP, etc.)",30–39 hours,None,5 hours or less,11–20 hours,5 hours or less,21–30 hours,"Roadmap, tech, and use case research",176
CEO risk,"Leadership (Manager, Director, VP, etc.)",70 or more hours,21–30 hours,More than 30 hours,11–20 hours,11–20 hours,11–20 hours,risk due diligence,177
Data visualization designer,Designer,30–39 hours,None,None,None,5 hours or less,11–20 hours,Revisions for a developer on a prototype,178
Analyst,Analyst,60–69 hours,21–30 hours,11–20 hours,5 hours or less,,5 hours or less,Revision,179
Senior Data Visualization Developer,"Leadership (Manager, Director, VP, etc.)",30–39 hours,None,5 hours or less,6–10 hours,5 hours or less,5 hours or less,"Reviewing others’ visualizations, presenting visualizations",180
Senior Data Visualization Engineer,Engineer,30–39 hours,None,None,None,6–10 hours,6–10 hours,reviewing others' visualizations,181
Senior Lead Data Visualization Designer,Designer,40–49 hours,None,None,11–20 hours,5 hours or less,5 hours or less,Reviewing new datasets to be incorporated into our products,182
Product Design Consultant,Designer,20–29 hours,None,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"Reviewing ideas with stakeholders, iterating on designs",183
"Manager, Academic & Administrative Analytics","Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,None,6–10 hours,Reviewing data work from/with my staff,184
Executive Director,Scientist,40–49 hours,None,None,None,None,5 hours or less,"Reviewing data analysis and visualizations, providing feedback, offering guidance",185
Sr. Program Manager,None of these describes my role,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,5 hours or less,Reviewing and providing feedback on data viz,186
Data Analyst,Analyst,40–49 hours,6–10 hours,5 hours or less,5 hours or less,21–30 hours,5 hours or less,Reviewing and making edits or recommendations on others' visualizations.,187
Research & Insights Manager,Analyst,40–49 hours,6–10 hours,11–20 hours,None,11–20 hours,None,Reviewing and interpreting secondary research data visualizations,188
"Director, Market Data and Analytics","Leadership (Manager, Director, VP, etc.)",50–59 hours,6–10 hours,11–20 hours,5 hours or less,5 hours or less,5 hours or less,Reviewing and exploring tools to automate power BI data download and upload,189
Continuous Improvement Project Leader,Engineer,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,"Review sketches with stakeholders, research into visualization methods",190
Research Analyst,Analyst,40–49 hours,11–20 hours,6–10 hours,5 hours or less,5 hours or less,5 hours or less,Researching/looking into what other entities have done when presenting/visualizing similar data,191
Data Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,None,5 hours or less,More than 30 hours,Researching!,192
President,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,None,None,None,5 hours or less,Researching vendors,193
Data Visualisation Developer,Journalist,50–59 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,5 hours or less,Researching tools and templates for future analysis,194
Information designer,,70 or more hours,None,None,None,None,More than 30 hours,Researching the topic (currently in the early stages of a project!),195
Multimedia designer,Designer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,11–20 hours,Researching other graphic elements to include in the viz,196
research technitian,Scientist,30–39 hours,11–20 hours,6–10 hours,None,5 hours or less,5 hours or less,researching formats,197
Director of Learning & Evaluation,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,researching best practices,198
Data Analyst,Analyst,40–49 hours,5 hours or less,21–30 hours,5 hours or less,11–20 hours,5 hours or less,Researching and understanding data from various sources and how it could be used together.,199
Research Associate,Academic/Teacher,30–39 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,6–10 hours,Researching and learning,200
